Image,Percentage
Raspberry Pi OS (32-bit),48.00%
Raspberry Pi OS Lite (32-bit),14.65%
Raspberry Pi OS Full (32-bit),9.88%
Ubuntu Desktop 20.10 (RPi 4/400),5.83%
RetroPie 4.7.1 (RPI 4/400),2.55%
Raspberry Pi 4 EEPROM boot recovery,2.42%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.22%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.87%
Ubuntu Server 20.10 (RPi 3/4/400),1.68%
Recalbox 7.1.1-Reloaded (Pi 3),1.64%
LibreELEC (RPi4),1.54%
LibreELEC (RPi2/RPi3),1.38%
RetroPie 4.7.1 (RPI 2/3),1.28%
RISC OS (5.28),1.10%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.57%
RetroPie 4.7.1 (RPI 1/Zero),0.56%
Ubuntu Core 18 (RPi 3/4),0.49%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.43%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.25%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
TLXOS RPi 4.9.2 (latest),0.10%
TLXOS RPi 4.8.0 (LTS),0.02%
