Operating System,Percentage
Raspberry Pi OS (32-bit),38.21%
Raspberry Pi OS (other),22.90%
Ubuntu,17.17%
RetroPie,4.99%
Recalbox,4.29%
Bootloader,4.00%
LibreELEC,3.21%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.98%
Homebridge,0.91%
OctoPi,0.45%
Home Assistant,0.42%
info-beamer digital signage,0.19%
TLXOS,0.18%
ALT,0.05%
