Operating System,Percentage
Raspberry Pi OS (32-bit),46.16%
Raspberry Pi OS (other),24.60%
Ubuntu,12.81%
RetroPie,5.29%
Recalbox,4.14%
LibreELEC,3.31%
Misc utility images,2.39%
RISC OS Pi,0.96%
Manjaro ARM Linux,0.13%
TLXOS,0.11%
Bootloader,0.10%
