Operating System,Percentage
Raspberry Pi OS (32-bit),42.07%
Raspberry Pi OS (other),22.74%
Ubuntu,16.33%
Bootloader,4.26%
RetroPie,3.98%
Recalbox,3.71%
LibreELEC,2.64%
Manjaro ARM Linux,1.88%
Homebridge,0.85%
RISC OS Pi,0.74%
OctoPi,0.50%
info-beamer digital signage,0.20%
TLXOS,0.08%
ALT,0.02%
