Image,Percentage
Raspberry Pi OS (32-bit),45.97%
Raspberry Pi OS Lite (32-bit),14.71%
Raspberry Pi OS Full (32-bit),10.12%
Ubuntu Desktop 20.10 (RPi 4/400),5.91%
RetroPie 4.7.1 (RPI 4/400),2.77%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.55%
Raspberry Pi 4 EEPROM boot recovery,2.31%
RetroPie 4.7.1 (RPI 2/3),1.88%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.87%
Recalbox 7.1.1-Reloaded (Pi 3),1.78%
Ubuntu Server 20.10 (RPi 3/4/400),1.74%
LibreELEC (RPi4),1.67%
LibreELEC (RPi2/RPi3),1.38%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.02%
RISC OS (5.28),0.98%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.69%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.36%
LibreELEC (RPi0/RPi1),0.29%
Recalbox 7.1.1-Reloaded (Pi 2),0.22%
TLXOS RPi 4.9.3 (latest),0.09%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
