Operating System,Percentage
Raspberry Pi OS (32-bit),41.40%
Raspberry Pi OS (other),22.62%
Ubuntu,16.13%
RetroPie,4.86%
Recalbox,4.65%
Bootloader,4.17%
LibreELEC,2.69%
Manjaro ARM Linux,2.01%
RISC OS Pi,0.65%
OctoPi,0.48%
info-beamer digital signage,0.21%
ALT,0.06%
TLXOS,0.06%
Misc utility images,0.00%
