Operating System,Percentage
Raspberry Pi OS (32-bit),40.92%
Raspberry Pi OS (other),22.37%
Ubuntu,16.73%
Recalbox,4.86%
RetroPie,4.85%
Bootloader,4.12%
LibreELEC,2.67%
Manjaro ARM Linux,2.06%
RISC OS Pi,0.66%
OctoPi,0.45%
info-beamer digital signage,0.20%
ALT,0.06%
TLXOS,0.06%
Misc utility images,0.00%
