Image,Percentage
Raspberry Pi OS (32-bit),46.79%
Raspberry Pi OS Lite (32-bit),14.62%
Raspberry Pi OS Full (32-bit),9.89%
Ubuntu Desktop 20.10 (RPi 4/400),5.81%
RetroPie 4.7.1 (RPI 4/400),2.63%
Raspberry Pi 4 EEPROM boot recovery,2.31%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.96%
Recalbox 7.1.1-Reloaded (Pi 3),1.80%
Ubuntu Server 20.10 (RPi 3/4/400),1.64%
RetroPie 4.7.1 (RPI 2/3),1.58%
LibreELEC (RPi4),1.57%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),1.49%
LibreELEC (RPi2/RPi3),1.42%
RISC OS (5.28),0.97%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.95%
Ubuntu Server 20.04.1 LTS (RPi 3/4),0.83%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
Ubuntu Core 18 (RPi 3/4),0.58%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.42%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.34%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.31%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.21%
TLXOS RPi 4.9.3 (latest),0.08%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.05%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.00%
TLXOS RPi 4.9.2 (latest),0.00%
