Operating System,Percentage
Raspberry Pi OS (32-bit),38.26%
Raspberry Pi OS (other),22.16%
Ubuntu,17.42%
RetroPie,4.95%
Recalbox,4.61%
Bootloader,4.49%
LibreELEC,2.95%
Manjaro ARM Linux,2.21%
RISC OS Pi,0.73%
Home Assistant,0.68%
Homebridge,0.66%
OctoPi,0.43%
info-beamer digital signage,0.24%
ALT,0.13%
TLXOS,0.08%
