Operating System,Percentage
Raspberry Pi OS (32-bit),43.19%
Raspberry Pi OS (other),24.31%
Ubuntu,14.99%
RetroPie,4.59%
Bootloader,4.08%
Recalbox,3.37%
LibreELEC,2.37%
Manjaro ARM Linux,1.81%
RISC OS Pi,0.59%
OctoPi,0.53%
ALT,0.09%
TLXOS,0.08%
