Operating System,Percentage
Raspberry Pi OS (32-bit),43.94%
Raspberry Pi OS (other),24.00%
Ubuntu,13.44%
RetroPie,5.07%
Recalbox,3.58%
Bootloader,3.48%
LibreELEC,2.96%
Manjaro ARM Linux,1.87%
RISC OS Pi,0.75%
Misc utility images,0.46%
OctoPi,0.33%
TLXOS,0.08%
ALT,0.04%
