Operating System,Percentage
Raspberry Pi OS (32-bit),41.06%
Raspberry Pi OS (other),22.69%
Ubuntu,16.24%
RetroPie,4.74%
Bootloader,4.40%
Recalbox,4.20%
LibreELEC,2.64%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.66%
Homebridge,0.54%
OctoPi,0.45%
info-beamer digital signage,0.20%
TLXOS,0.07%
ALT,0.06%
