Operating System,Percentage
Raspberry Pi OS (32-bit),43.46%
Raspberry Pi OS (other),23.60%
Ubuntu,14.34%
RetroPie,5.10%
Bootloader,4.03%
Recalbox,3.40%
LibreELEC,2.76%
Manjaro ARM Linux,1.89%
RISC OS Pi,0.65%
OctoPi,0.51%
info-beamer digital signage,0.12%
ALT,0.09%
TLXOS,0.05%
