Operating System,Percentage
Raspberry Pi OS (32-bit),37.89%
Raspberry Pi OS (other),21.85%
Ubuntu,14.95%
Bootloader,5.46%
OctoPi,4.92%
RetroPie,4.24%
Recalbox,2.77%
Manjaro ARM Linux,2.08%
LibreELEC,1.74%
OSMC,1.34%
Home Assistant,1.08%
Homebridge,0.85%
RISC OS Pi,0.60%
info-beamer digital signage,0.14%
TLXOS,0.05%
ALT,0.05%
