Image,Percentage
Raspberry Pi OS (32-bit),41.43%
Raspberry Pi OS Lite (32-bit),13.28%
Raspberry Pi OS Full (32-bit),8.84%
Ubuntu Desktop 21.04 (RPi 4/400),8.49%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.49%
Ubuntu Server 21.04 (RPi 3/4/400),2.69%
USB Boot,2.08%
SD Card Boot,2.08%
RetroPie 4.7.1 (RPI 4/400),1.99%
Recalbox 7.2.1-Reloaded - Pi3,1.49%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.37%
LibreELEC (RPi4),1.33%
RetroPie 4.7.1 (RPI 2/3),1.31%
LibreELEC (RPi2/RPi3),1.15%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.08%
Homebridge,0.95%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.92%
RISC OS (5.28),0.88%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.72%
Ubuntu Core 18 (RPi 3/4),0.52%
RetroPie 4.7.1 (RPI 1/Zero),0.49%
OctoPi,0.48%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.48%
LibreELEC (RPi0/RPi1),0.38%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Home Assistant OS 5.13 (RPi 4/400),0.21%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.21%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
Recalbox 7.2.1-Reloaded - Pi2,0.18%
info-beamer OS,0.17%
Home Assistant OS 5.13 (RPi 3),0.14%
Network Boot,0.12%
TLXOS RPi 4.10.0 (latest),0.07%
TLXOS RPi 4.8.2 (LTS),0.06%
TLXOS RPi IoT 4.8.2 (LTS),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
info-beamer OS (testing),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
