Image,Percentage
Raspberry Pi OS (32-bit),42.89%
Raspberry Pi OS Lite (32-bit),14.52%
Raspberry Pi OS Full (32-bit),9.47%
Ubuntu Desktop 20.10 (RPi 4/400),5.79%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.25%
RetroPie 4.7.1 (RPI 4/400),2.49%
USB Boot,2.39%
Ubuntu Server 20.10 (RPi 3/4/400),1.95%
SD Card Boot,1.87%
RetroPie 4.7.1 (RPI 2/3),1.67%
Recalbox 7.1.1-Reloaded (Pi 3),1.66%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.56%
LibreELEC (RPi4),1.40%
LibreELEC (RPi2/RPi3),1.21%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.09%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
RISC OS (5.28),0.61%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.57%
Ubuntu Core 18 (RPi 3/4),0.49%
OctoPi,0.47%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.38%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.28%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
Network Boot,0.15%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
