Image,Percentage
Raspberry Pi OS (32-bit),41.50%
Raspberry Pi OS Lite (32-bit),13.91%
Raspberry Pi OS Full (32-bit),9.09%
Ubuntu Desktop 21.04 (RPi 4/400),4.59%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.52%
RetroPie 4.7.1 (RPI 4/400),2.56%
Ubuntu Desktop 20.10 (RPi 4/400),2.34%
SD Card Boot,2.09%
USB Boot,2.02%
RetroPie 4.7.1 (RPI 2/3),1.63%
Ubuntu Server 21.04 (RPi 3/4/400),1.61%
LibreELEC (RPi4),1.37%
LibreELEC (RPi2/RPi3),1.14%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.00%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.92%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Recalbox 7.2-Reloaded - Pi3,0.90%
Ubuntu Server 20.10 (RPi 3/4/400),0.80%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.73%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.66%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
RISC OS (5.28),0.65%
Recalbox 7.1.1-Reloaded (Pi 3),0.62%
Ubuntu Core 18 (RPi 3/4),0.54%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.54%
OctoPi,0.45%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.42%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.31%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.28%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.2.1-Reloaded - Pi3,0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
Homebridge,0.16%
info-beamer OS,0.15%
Network Boot,0.15%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.13%
Recalbox 7.2-Reloaded - Pi2,0.07%
Recalbox 7.1.1-Reloaded (Pi 2),0.07%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.05%
TLXOS RPi 4.9.3 (latest),0.05%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
Recalbox 7.2.1-Reloaded - Pi2,0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.02%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.01%
