Operating System,Percentage
Raspberry Pi OS (32-bit),45.55%
Raspberry Pi OS (other),24.48%
Ubuntu,12.77%
RetroPie,5.39%
Recalbox,3.88%
LibreELEC,3.20%
Misc utility images,1.71%
Bootloader,1.23%
RISC OS Pi,0.88%
Manjaro ARM Linux,0.73%
OctoPi,0.09%
TLXOS,0.09%
