Image,Percentage
Raspberry Pi OS (32-bit),42.87%
Raspberry Pi OS Lite (32-bit),14.55%
Raspberry Pi OS Full (32-bit),9.42%
Ubuntu Desktop 20.10 (RPi 4/400),5.82%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.22%
RetroPie 4.7.1 (RPI 4/400),2.51%
USB Boot,2.39%
Ubuntu Server 20.10 (RPi 3/4/400),1.92%
SD Card Boot,1.92%
Recalbox 7.1.1-Reloaded (Pi 3),1.69%
RetroPie 4.7.1 (RPI 2/3),1.65%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.59%
LibreELEC (RPi4),1.40%
LibreELEC (RPi2/RPi3),1.21%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.07%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.02%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
RISC OS (5.28),0.60%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.58%
Ubuntu Core 18 (RPi 3/4),0.51%
OctoPi,0.45%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.37%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.33%
LibreELEC (RPi0/RPi1),0.28%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Network Boot,0.16%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
