Image,Percentage
Raspberry Pi OS (32-bit),42.11%
Raspberry Pi OS Lite (32-bit),14.08%
Raspberry Pi OS Full (32-bit),9.16%
Ubuntu Desktop 20.10 (RPi 4/400),5.22%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.53%
RetroPie 4.7.1 (RPI 4/400),2.61%
SD Card Boot,2.10%
USB Boot,2.01%
Ubuntu Server 20.10 (RPi 3/4/400),1.76%
RetroPie 4.7.1 (RPI 2/3),1.66%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.57%
Recalbox 7.1.1-Reloaded (Pi 3),1.48%
LibreELEC (RPi4),1.39%
Ubuntu Desktop 21.04 (RPi 4/400),1.32%
LibreELEC (RPi2/RPi3),1.16%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.99%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.97%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
RISC OS (5.28),0.62%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.57%
Ubuntu Core 18 (RPi 3/4),0.56%
OctoPi,0.50%
Ubuntu Server 21.04 (RPi 3/4/400),0.48%
Ubuntu Core 18 (RPi 2/3/4),0.35%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.20%
info-beamer OS,0.19%
Recalbox 7.1.1-Reloaded (Pi 2),0.15%
Network Boot,0.15%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.10%
Recalbox 7.2-Reloaded - Pi3,0.09%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Recalbox 7.2-Reloaded - Pi2,0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
