Operating System,Percentage
Raspberry Pi OS (32-bit),47.95%
Raspberry Pi OS (other),25.16%
Ubuntu,11.71%
RetroPie,4.78%
Recalbox,4.26%
LibreELEC,2.90%
Misc utility images,2.24%
RISC OS Pi,0.87%
TLXOS,0.12%
