Operating System,Percentage
Raspberry Pi OS (32-bit),46.29%
Raspberry Pi OS (other),25.21%
Ubuntu,12.71%
RetroPie,5.18%
Recalbox,4.17%
LibreELEC,3.18%
Misc utility images,2.36%
RISC OS Pi,0.80%
TLXOS,0.09%
