Operating System,Percentage
Raspberry Pi OS (32-bit),47.36%
Raspberry Pi OS (other),24.83%
Ubuntu,11.84%
RetroPie,4.92%
Recalbox,4.46%
LibreELEC,3.25%
Misc utility images,2.19%
RISC OS Pi,1.03%
TLXOS,0.12%
