Operating System,Percentage
Raspberry Pi OS (32-bit),44.79%
Raspberry Pi OS (other),23.72%
Ubuntu,13.55%
RetroPie,6.64%
Recalbox,4.65%
LibreELEC,3.33%
Misc utility images,2.40%
RISC OS Pi,0.88%
TLXOS,0.04%
