Operating System,Percentage
Raspberry Pi OS (32-bit),46.83%
Raspberry Pi OS (other),24.63%
Ubuntu,13.15%
RetroPie,5.20%
Recalbox,3.58%
LibreELEC,3.04%
Misc utility images,2.59%
RISC OS Pi,0.92%
TLXOS,0.06%
