Operating System,Percentage
Raspberry Pi OS (32-bit),46.36%
Raspberry Pi OS (other),24.62%
Ubuntu,12.80%
RetroPie,5.21%
Recalbox,4.23%
LibreELEC,3.31%
Misc utility images,2.37%
RISC OS Pi,0.99%
TLXOS,0.11%
