Operating System,Percentage
Raspberry Pi OS (32-bit),47.66%
Raspberry Pi OS (other),25.62%
Ubuntu,11.79%
RetroPie,5.04%
Recalbox,3.81%
LibreELEC,2.90%
Misc utility images,2.22%
RISC OS Pi,0.82%
TLXOS,0.15%
