Image,Percentage
Raspberry Pi OS (32-bit),46.66%
Raspberry Pi OS Lite (32-bit),14.74%
Raspberry Pi OS Full (32-bit),9.86%
Ubuntu Desktop 20.10 (RPi 4/400),5.76%
RetroPie 4.7.1 (RPI 4/400),2.56%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.53%
Raspberry Pi 4 EEPROM boot recovery,2.34%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.96%
Recalbox 7.1.1-Reloaded (Pi 3),1.84%
Ubuntu Server 20.10 (RPi 3/4/400),1.74%
RetroPie 4.7.1 (RPI 2/3),1.67%
LibreELEC (RPi4),1.63%
LibreELEC (RPi2/RPi3),1.40%
RISC OS (5.28),1.00%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.67%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.38%
Ubuntu Core 18 (RPi 2/3/4),0.38%
LibreELEC (RPi0/RPi1),0.31%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
TLXOS RPi 4.9.3 (latest),0.11%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
