Operating System,Percentage
Raspberry Pi OS (32-bit),43.99%
Raspberry Pi OS (other),24.51%
Ubuntu,11.99%
RetroPie,6.48%
Recalbox,4.96%
LibreELEC,4.08%
Misc utility images,3.00%
RISC OS Pi,0.88%
TLXOS,0.12%
