Operating System,Percentage
Raspberry Pi OS (32-bit),47.77%
Raspberry Pi OS (other),23.95%
Ubuntu,11.82%
RetroPie,5.29%
Recalbox,4.40%
LibreELEC,3.32%
Misc utility images,2.24%
RISC OS Pi,1.05%
TLXOS,0.16%
