Operating System,Percentage
Raspberry Pi OS (32-bit),46.07%
Raspberry Pi OS (other),24.32%
Ubuntu,11.16%
Recalbox,5.90%
RetroPie,5.45%
LibreELEC,3.38%
Misc utility images,2.64%
RISC OS Pi,1.00%
TLXOS,0.08%
