Operating System,Percentage
Raspberry Pi OS (32-bit),46.61%
Raspberry Pi OS (other),24.42%
Ubuntu,12.73%
RetroPie,4.85%
Recalbox,4.51%
LibreELEC,3.38%
Misc utility images,2.34%
RISC OS Pi,1.02%
TLXOS,0.13%
