Image,Percentage
Raspberry Pi OS (32-bit),47.80%
Raspberry Pi OS Lite (32-bit),14.64%
Raspberry Pi OS Full (32-bit),9.96%
Ubuntu Desktop 20.10 (RPi 4/400),5.75%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.52%
RetroPie 4.7.1 (RPI 4/400),2.43%
Raspberry Pi 4 EEPROM boot recovery,2.23%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.00%
Ubuntu Server 20.10 (RPi 3/4/400),1.80%
Recalbox 7.1.1-Reloaded (Pi 3),1.54%
LibreELEC (RPi4),1.49%
RetroPie 4.7.1 (RPI 2/3),1.42%
LibreELEC (RPi2/RPi3),1.28%
RISC OS (5.28),0.95%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.88%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.70%
Ubuntu Core 18 (RPi 3/4),0.53%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.43%
Ubuntu Core 18 (RPi 2/3/4),0.36%
LibreELEC (RPi0/RPi1),0.33%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
TLXOS RPi 4.9.3 (latest),0.07%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
