Operating System,Percentage
Raspberry Pi OS (32-bit),46.20%
Raspberry Pi OS (other),24.73%
Ubuntu,11.96%
RetroPie,5.30%
Recalbox,4.94%
LibreELEC,3.32%
Misc utility images,2.41%
RISC OS Pi,1.03%
TLXOS,0.11%
