Operating System,Percentage
Raspberry Pi OS (32-bit),38.13%
Raspberry Pi OS (other),23.82%
Ubuntu,14.10%
Bootloader,4.99%
OctoPi,4.77%
RetroPie,3.99%
Recalbox,2.58%
Manjaro ARM Linux,1.90%
LibreELEC,1.47%
OSMC,1.41%
Home Assistant,1.06%
Homebridge,0.96%
RISC OS Pi,0.54%
info-beamer digital signage,0.16%
TLXOS,0.05%
ALT,0.05%
