Operating System,Percentage
Raspberry Pi OS (32-bit),45.69%
Raspberry Pi OS (other),24.52%
Ubuntu,12.71%
RetroPie,5.39%
Recalbox,3.90%
LibreELEC,3.21%
Misc utility images,1.80%
Bootloader,1.08%
RISC OS Pi,0.88%
Manjaro ARM Linux,0.67%
TLXOS,0.09%
OctoPi,0.07%
