Operating System,Percentage
Raspberry Pi OS (32-bit),41.64%
Raspberry Pi OS (other),23.05%
Ubuntu,15.54%
RetroPie,4.98%
Bootloader,4.25%
Recalbox,4.21%
LibreELEC,2.83%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.62%
OctoPi,0.52%
info-beamer digital signage,0.20%
ALT,0.06%
TLXOS,0.06%
Misc utility images,0.00%
